0,0,0,0,90.645,33.4293
0,0,0,1,89.3611,29.2786
0,0,0,2,85.6408,26.0071
0,0,0,3,82.5293,25.0799
0,0,1,0,91.3339,34.0436
0,0,1,1,90.5653,30.0426
0,0,1,2,89.3592,26.3437
0,0,1,3,86.6602,25.5464
0,0,2,0,92.1126,35.1536
0,0,2,1,91.5307,30.6797
0,0,2,2,90.6547,27.2215
0,0,2,3,88.4863,26.428
0,0,3,0,92.9313,39.8536
0,0,3,1,92.2373,33.1124
0,0,3,2,91.1986,28.776
0,0,3,3,90.0391,27.3476
0,0,4,0,93.8399,48.6272
0,0,4,1,92.9538,36.5186
0,0,4,2,92.1776,30.8667
0,0,4,3,91.1328,29.542
0,1,0,0,89.1074,34.7093
0,1,0,1,87.5299,29.5377
0,1,0,2,85.3244,26.2433
0,1,0,3,77.6465,25.0003
0,1,1,0,91.3738,35.4882
0,1,1,1,90.5951,29.7985
0,1,1,2,89.0922,26.5937
0,1,1,3,85.791,25.3452
0,1,2,0,92.6418,37.4742
0,1,2,1,91.8491,30.4442
0,1,2,2,91.0305,28.6507
0,1,2,3,88.9746,26.3217
0,1,3,0,94.1394,41.6556
0,1,3,1,93.1927,34.1512
0,1,3,2,92.3161,29.9229
0,1,3,3,91.2598,27.1893
0,1,4,0,95.3275,52.3452
0,1,4,1,94.4566,40.0537
0,1,4,2,93.3248,33.4613
0,1,4,3,92.207,30.5133
0,2,0,0,87.5399,35.9226
0,2,0,1,83.3499,29.9648
0,2,0,2,85.443,26.8207
0,2,0,3,66.1328,25.1817
0,2,1,0,90.4653,36.3043
0,2,1,1,90.5056,30.5976
0,2,1,2,86.2935,27.2344
0,2,1,3,83.4668,27.2104
0,2,2,0,92.3522,40.7883
0,2,2,1,91.6899,33.8262
0,2,2,2,90.803,28.062
0,2,2,3,88.6719,26.4381
0,2,3,0,94.2592,46.3535
0,2,3,1,93.0633,36.2012
0,2,3,2,91.871,30.0547
0,2,3,3,90.5957,27.8797
0,2,4,0,95.6869,59.3501
0,2,4,1,94.7751,43.0365
0,2,4,2,93.2456,36.42
0,2,4,3,92.5,32.6854
0,3,0,0,82.0088,39.066
0,3,0,1,80.5434,31.046
0,3,0,2,68.4039,27.1547
0,3,0,3,50.0098,24.8812
0,3,1,0,90.4852,37.7435
0,3,1,1,87.0223,32.3362
0,3,1,2,85.1859,27.5046
0,3,1,3,78.0176,25.2511
0,3,2,0,92.0128,41.5737
0,3,2,1,91.0131,33.55
0,3,2,2,89.1911,28.4939
0,3,2,3,85.625,26.4004
0,3,3,0,93.6202,48.6517
0,3,3,1,92.6752,36.8705
0,3,3,2,91.6139,31.7692
0,3,3,3,89.8730,29.2664
0,3,4,0,96.2061,68.6698
0,3,4,1,95.0338,49.1291
0,3,4,2,93.8884,40.4176
0,3,4,3,92.3340,36.3526
1,0,0,0,92.8614,36.4856
1,0,0,1,92.4562,30.3675
1,0,0,2,91.7425,27.6109
1,0,0,3,91.1035,25.5271
1,0,1,0,94.3291,35.8745
1,0,1,1,93.6405,29.4909
1,0,1,2,92.4051,26.5383
1,0,1,3,91.8945,25.4645
1,0,2,0,95.1777,37.4164
1,0,2,1,94.6855,31.2702
1,0,2,2,93.7203,27.7093
1,0,2,3,92.6367,26.2806
1,0,3,0,96.6054,41.4504
1,0,3,1,95.6509,33.5812
1,0,3,2,94.3434,29.6669
1,0,3,3,93.8965,28.5822
1,0,4,0,97.2344,50.7464
1,0,4,1,96.5665,38.3746
1,0,4,2,96.0542,32.1717
1,0,4,3,94.9512,29.3311
1,1,0,0,92.7416,36.4433
1,1,0,1,92.2771,31.5691
1,1,0,2,91.4260,27.6589
1,1,0,3,88.2715,25.7398
1,1,1,0,94.5387,37.0759
1,1,1,1,93.8893,30.8657
1,1,1,2,93.1270,29.1555
1,1,1,3,92.3828,26.5797
1,1,2,0,96.1162,40.3595
1,1,2,1,95.2329,32.3987
1,1,2,2,94.7785,29.4860
1,1,2,3,93.5645,27.4581
1,1,3,0,97.0946,44.1838
1,1,3,1,96.4769,35.1481
1,1,3,2,95.9256,30.1783
1,1,3,3,95.1465,28.0550
1,1,4,0,97.5539,55.0594
1,1,4,1,97.3726,41.0384
1,1,4,2,96.8750,34.4633
1,1,4,3,95.9277,30.5844
1,2,0,0,92.9313,37.2432
1,2,0,1,91.9586,31.1477
1,2,0,2,91.0997,27.0965
1,2,0,3,88.2910,25.7381
1,2,1,0,94.5787,39.0854
1,2,1,1,94.0585,32.0515
1,2,1,2,93.2654,28.8445
1,2,1,3,91.0547,25.8030
1,2,2,0,96.2859,41.3692
1,2,2,1,95.6509,33.1821
1,2,2,2,94.0368,29.0027
1,2,2,3,94.1504,26.6313
1,2,3,0,96.9050,47.0020
1,2,3,1,97.0740,36.3570
