0,1,4,2,93.3940,36.2507
0,0,1,1,90.5255,31.0724
4,3,1,0,94.8383,41.7340
3,2,4,0,95.7967,79.9431
3,0,3,2,97.1420,30.4711
2,1,0,2,92.0688,28.3638
1,2,4,1,97.3627,47.3778
3,0,2,0,96.2859,41.8553
2,3,0,1,93.0334,33.5612
4,1,4,3,97.1777,32.5960
1,3,1,0,94.6286,42.4836
2,3,0,0,93.3307,41.6564
0,2,2,3,89.2383,27.5363
1,2,4,1,97.3925,52.1134
1,3,1,1,94.1879,38.4610
0,1,3,0,93.8199,47.3315
0,2,4,1,94.6855,50.3966
2,1,3,1,96.9646,40.9774
2,1,1,2,94.5510,28.9696
1,3,0,1,91.1724,36.9350
1,1,2,3,93.1055,28.8982
3,3,1,1,95.4319,34.9023
2,2,4,2,97.2903,39.0323
2,3,1,1,95.1135,33.2796
2,3,3,0,97.3343,54.4248
1,1,3,0,97.0148,45.1997
0,1,3,1,92.9439,36.4192
1,1,0,2,91.5941,28.1861
2,3,1,0,95.9864,42.7828
1,1,1,2,93.4929,28.5409
